,links
113,https://www.straitstimes.com/singapore/courts-crime/32-nabbed-for-illegal-horse-betting-activities-cellphones-pagers-and-12500-in
114,https://www.straitstimes.com/singapore/courts-crime/girl-6-dies-in-hospital-after-being-found-submerged-unattended-in-hotel-pool
115,https://www.straitstimes.com/singapore/courts-crime/1-year-probation-for-teenager-who-illegally-set-off-fireworks-with-father-in
116,https://www.straitstimes.com/singapore/courts-crime/teenager-arrested-for-at-least-20-bts-and-monsta-x-e-commerce-scams-involving
117,https://www.straitstimes.com/singapore/courts-crime/short-detention-order-for-e-bike-rider-who-rode-into-jogger-causing-brain
118,https://www.straitstimes.com/singapore/courts-crime/prosecution-calls-for-up-to-3-years-jail-for-ex-mosque-leader-who
119,https://www.straitstimes.com/singapore/courts-crime/dentist-admits-duping-the-cpf-board-into-disbursing-388700-from-patients
120,https://www.straitstimes.com/singapore/courts-crime/former-tutor-gets-3-years-jail-over-role-in-o-level-cheating-ruse
121,https://www.straitstimes.com/singapore/courts-crime/food-deliveryman-on-e-scooter-arrested-after-knocking-down-elderly-woman-at
122,https://www.straitstimes.com/singapore/courts-crime/volunteers-ex-offenders-selling-keychains-soft-toys-not-from-yellow-ribbon
123,https://www.straitstimes.com/singapore/courts-crime/five-men-arrested-for-fight-along-orchard-road-case-classified-as-rioting
124,https://www.straitstimes.com/singapore/courts-crime/foreign-worker-who-had-sex-with-12-year-old-girl-gets-22-years-jail-and-18
125,https://www.straitstimes.com/singapore/courts-crime/debt-recovery-firm-director-admits-to-offences-including-harassment-and
126,https://www.straitstimes.com/singapore/courts-crime/cyclist-involved-in-pasir-ris-altercation-with-lorry-driver-fined-2800
127,https://www.straitstimes.com/singapore/courts-crime/139-suspected-drug-offenders-nabbed-after-11-day-cnb-operation
128,https://www.straitstimes.com/singapore/courts-crime/law-society-refutes-flak-over-its-alleged-silence-on-fake-news-bill
129,https://www.straitstimes.com/singapore/courts-crime/42-months-jail-for-former-uob-relationship-manager-who-misappropriated-over
130,https://www.straitstimes.com/singapore/courts-crime/aesthetics-doctor-georgia-lee-denies-using-celebrity-status-to-convince
131,https://www.straitstimes.com/singapore/courts-crime/32-investigated-by-police-for-e-commerce-and-commercial-crime-related
132,https://www.straitstimes.com/singapore/courts-crime/former-islamic-religious-teacher-jailed-16-months-for-molesting-family-friend
133,https://www.straitstimes.com/singapore/courts-crime/store-owner-fined-30k-for-being-in-possession-of-unregistered-therapeutic
134,https://www.straitstimes.com/singapore/courts-crime/jail-fine-for-chemical-surveyor-over-illegal-fireworks-display-and-for-lying
135,https://www.straitstimes.com/singapore/courts-crime/thief-who-stole-car-with-235k-worth-of-valuables-from-east-coast-park-nabbed
